season,week,roster_size,actual_survivors_count,predicted_survivors_count,intersection_count,survival_accuracy,actual_survivors,predicted_survivors
1,5,3,2,2,1,0.5,"John O'Hurley, Kelly Monaco","John O'Hurley, Joey McIntyre"
2,7,4,3,3,3,1.0,"Drew Lachey, Stacy Keibler, Jerry Rice","Drew Lachey, Stacy Keibler, Jerry Rice"
3,9,3,2,2,1,0.5,"Emmitt Smith, Mario Lopez","Emmitt Smith, Joey Lawrence"
4,9,4,3,3,3,1.0,"Laila Ali, Joey Fatone, Apolo Anton Ohno","Laila Ali, Joey Fatone, Apolo Anton Ohno"
5,9,4,3,3,2,0.6666666666666666,"Helio Castroneves, Marie Osmond, Mel B","Helio Castroneves, Mel B, Jennie Garth"
6,9,4,3,3,3,1.0,"Kristi Yamaguchi, Jason Taylor, Cristian de la Fuente","Kristi Yamaguchi, Jason Taylor, Cristian de la Fuente"
7,9,4,3,3,3,1.0,"Lance Bass, Warren Sapp, Brooke Burke","Lance Bass, Warren Sapp, Brooke Burke"
8,10,4,3,3,3,1.0,"Gilles Marini, Shawn Johnson, Melissa Rycroft","Gilles Marini, Shawn Johnson, Melissa Rycroft"
9,9,4,3,3,2,0.6666666666666666,"Mya, Donny Osmond, Kelly Osbourne","Mya, Kelly Osbourne, Joanna Krupa"
10,9,4,3,3,3,1.0,"Evan Lysacek, Erin Andrews, Nicole Scherzinger","Evan Lysacek, Erin Andrews, Nicole Scherzinger"
11,9,4,3,3,3,1.0,"Kyle Massey, Bristol Palin, Jennifer Grey","Kyle Massey, Bristol Palin, Jennifer Grey"
12,9,4,3,3,3,1.0,"Kirstie Alley, Chelsea Kane, Hines Ward","Kirstie Alley, Chelsea Kane, Hines Ward"
13,9,4,3,3,3,1.0,"Ricki Lake, J.R. Martinez, Rob Kardashian","Ricki Lake, J.R. Martinez, Rob Kardashian"
14,9,4,3,3,2,0.6666666666666666,"William Levy, Donald Driver, Katherine Jenkins","William Levy, Donald Driver, Maria Menounos"
15,9,5,3,3,2,0.6666666666666666,"Melissa Rycroft, Shawn Johnson, Kelly Monaco","Apolo Anton Ohno, Melissa Rycroft, Shawn Johnson"
16,9,5,4,4,4,1.0,"Kellie Pickler, Alexandra Raisman, Zendaya, Jacoby Jones","Kellie Pickler, Alexandra Raisman, Zendaya, Jacoby Jones"
17,10,5,4,4,3,0.75,"Corbin Bleu, Bill Engvall, Amber Riley, Jack Osbourne","Corbin Bleu, Leah Remini, Amber Riley, Jack Osbourne"
18,9,5,4,4,4,1.0,"Amy Purdy, James Maslow, Meryl Davis, Candace Cameron Bure","Amy Purdy, James Maslow, Meryl Davis, Candace Cameron Bure"
19,10,5,4,4,4,1.0,"Alfonso Ribeiro, Janel Parrish, Sadie Robertson, Bethany Mota","Alfonso Ribeiro, Janel Parrish, Sadie Robertson, Bethany Mota"
20,9,4,3,3,2,0.6666666666666666,"Noah Galloway, Riker Lynch, Rumer Willis","Riker Lynch, Nastia Liukin, Rumer Willis"
21,9,6,4,4,3,0.75,"Alek Skarlatos, Nick Carter, Carlos PenaVega, Bindi Irwin","Alexa PenaVega, Alek Skarlatos, Nick Carter, Bindi Irwin"
22,9,5,3,3,2,0.6666666666666666,"Ginger Zee, Paige VanZant, Nyle DiMarco","Paige VanZant, Nyle DiMarco, Wanya Morris"
23,10,5,4,4,3,0.75,"Calvin Johnson Jr., James Hinchcliffe, Jana Kramer, Laurie Hernandez","Terra Jole, James Hinchcliffe, Jana Kramer, Laurie Hernandez"
24,9,4,3,3,2,0.6666666666666666,"David Ross, Normani, Rashad Jennings","Simone Biles, Normani, Rashad Jennings"
25,9,5,4,4,3,0.75,"Frankie Muniz, Jordan Fisher, Drew Scott, Lindsey Stirling","Victoria Arlen, Frankie Muniz, Jordan Fisher, Lindsey Stirling"
26,3,6,3,3,3,1.0,"Adam Rippon, Josh Norman, Tonya Harding","Adam Rippon, Josh Norman, Tonya Harding"
27,8,6,4,4,3,0.75,"Bobby Bones, Evanna Lynch, Milo Manheim, Alexis Ren","Evanna Lynch, Juan Pablo Di Pace, Milo Manheim, Alexis Ren"
28,10,5,4,4,4,1.0,"Hannah Brown, Ally Brooke, Lauren Alaina, Kel Mitchell","Hannah Brown, Ally Brooke, Lauren Alaina, Kel Mitchell"
29,10,6,4,4,3,0.75,"Nelly, Nev Schulman, Justina Machado, Kaitlyn Bristowe","Justina Machado, Nev Schulman, Skai Jackson, Kaitlyn Bristowe"
30,9,6,4,4,3,0.75,"Amanda Kloots, Cody Rigsby, JoJo Siwa, Iman Shumpert","Suni Lee, Amanda Kloots, JoJo Siwa, Iman Shumpert"
31,9,6,4,4,4,1.0,"Charli D'Amelio, Wayne Brady, Gabby Windey, Shangela","Charli D'Amelio, Wayne Brady, Gabby Windey, Shangela"
32,9,6,5,5,5,1.0,"Alyson Hannigan, Ariana Madix, Charity Lawson, Xochitl Gomez, Jason Mraz","Alyson Hannigan, Ariana Madix, Charity Lawson, Xochitl Gomez, Jason Mraz"
33,7,6,5,5,5,1.0,"Ilona Maher, Stephen Nedoroscik, Joey Graziadei, Chandler Kinney, Danny Amendola","Ilona Maher, Stephen Nedoroscik, Joey Graziadei, Chandler Kinney, Danny Amendola"
34,10,6,5,5,4,0.8,"Dylan Efron, Elaine Hendrix, Alix Earle, Jordan Chiles, Robert Irwin","Elaine Hendrix, Whitney Leavitt, Alix Earle, Jordan Chiles, Robert Irwin"
