season,week,observed,pred_rank1,pred_rank2,is_correct,match_method
1,1,None,Trista Sutter,Kelly Monaco,False,
1,2,Trista Sutter,Evander Holyfield,Trista Sutter,False,
1,3,Evander Holyfield,Evander Holyfield,Rachel Hunter,True,Exact_Hit
1,4,Rachel Hunter,Joey McIntyre,John O'Hurley,False,
1,5,None,Joey McIntyre,Kelly Monaco,False,
1,6,None,John O'Hurley,Kelly Monaco,False,
2,1,Kenny Mayne,Kenny Mayne,Master P,True,Exact_Hit
2,2,Tatum O'Neal,Tatum O'Neal,Lisa Rinna,True,Exact_Hit
2,3,Giselle Fernandez,Giselle Fernandez,Master P,True,Exact_Hit
2,4,Master P,George Hamilton,Master P,False,
2,5,Tia Carrere,Tia Carrere,George Hamilton,True,Exact_Hit
2,6,George Hamilton,George Hamilton,Jerry Rice,True,Exact_Hit
2,7,Lisa Rinna,Jerry Rice,Lisa Rinna,False,
2,8,None,Jerry Rice,Stacy Keibler,False,
3,1,Tucker Carlson,Tucker Carlson,Sara Evans,True,Exact_Hit
3,2,Shanna Moakler,Jerry Springer,Shanna Moakler,False,
3,3,Harry Hamlin,Emmitt Smith,Joey Lawrence,False,
3,4,Vivica A. Fox,Sara Evans,Monique Coleman,False,
3,6,None,Jerry Springer,Monique Coleman,False,
3,7,Jerry Springer,Jerry Springer,Monique Coleman,True,Exact_Hit
3,8,Monique Coleman,Monique Coleman,Emmitt Smith,True,Exact_Hit
3,9,None,Emmitt Smith,Joey Lawrence,False,
3,10,None,Emmitt Smith,Mario Lopez,False,
4,1,None,Billy Ray Cyrus,Clyde Drexler,False,
4,2,Paulina Porizkova,Clyde Drexler,Shandi Finnessey,False,
4,3,Shandi Finnessey,Clyde Drexler,John Ratzenberger,False,
4,4,Leeza Gibbons,Clyde Drexler,John Ratzenberger,False,
4,5,Clyde Drexler,Clyde Drexler,Billy Ray Cyrus,True,Exact_Hit
4,6,Heather Mills,John Ratzenberger,Billy Ray Cyrus,False,
4,7,John Ratzenberger,Billy Ray Cyrus,John Ratzenberger,False,
4,8,Billy Ray Cyrus,Billy Ray Cyrus,Laila Ali,True,Exact_Hit
4,9,Ian Ziering,Laila Ali,Ian Ziering,False,
4,10,None,Laila Ali,Joey Fatone,False,
5,1,Josie Maran,Josie Maran,Floyd Mayweather Jr. ,True,Exact_Hit
5,2,Albert Reed,Wayne Newton,Mark Cuban,False,
5,3,Wayne Newton,Wayne Newton,Mark Cuban,True,Exact_Hit
5,4,Floyd Mayweather Jr. ,Mark Cuban,Floyd Mayweather Jr. ,False,
5,5,Mark Cuban,Mark Cuban,Marie Osmond,True,Exact_Hit
5,6,Sabrina Bryan,Jane Seymour,Marie Osmond,False,
5,7,Jane Seymour,Jane Seymour,Cameron Mathison,True,Exact_Hit
5,8,Cameron Mathison,Marie Osmond,Cameron Mathison,False,
5,9,Jennie Garth,Marie Osmond,Mel B,False,
5,10,None,Marie Osmond,Mel B,False,
6,1,None,Monica Seles,Penn Jillette,False,
6,2,Monica Seles,Monica Seles,Steve Guttenberg,True,Exact_Hit
6,3,Steve Guttenberg,Marissa Jaret Winokur,Marlee Matlin,False,
6,4,Adam Carolla,Adam Carolla,Marlee Matlin,True,Exact_Hit
6,5,Priscilla Presley,Marlee Matlin,Shannon Elizabeth,False,
6,6,Marlee Matlin,Marlee Matlin,Shannon Elizabeth,True,Exact_Hit
6,7,Shannon Elizabeth,Cristian de la Fuente,Shannon Elizabeth,False,
6,8,Mario,Marissa Jaret Winokur,Jason Taylor,False,
6,9,Marissa Jaret Winokur,Marissa Jaret Winokur,Jason Taylor,True,Exact_Hit
6,10,None,Cristian de la Fuente,Jason Taylor,False,
7,1,Jeffrey Ross,Jeffrey Ross,Rocco DiSpirito,True,Exact_Hit
7,3,None,Cloris Leachman,Rocco DiSpirito,False,
7,4,Rocco DiSpirito,Rocco DiSpirito,Maurice Greene,True,Exact_Hit
7,5,Toni Braxton,Lance Bass,Susan Lucci,False,
7,6,Cloris Leachman,Cloris Leachman,Susan Lucci,True,Exact_Hit
7,7,Susan Lucci,Warren Sapp,Susan Lucci,False,
7,8,Maurice Greene,Lance Bass,Maurice Greene,False,
7,9,Cody Linley,Brooke Burke,Warren Sapp,False,
7,10,None,Lance Bass,Warren Sapp,False,
8,1,None,Steve Wozniak,Ty Murray,False,
8,2,Belinda Carlisle,Steve-O,Steve Wozniak,False,
8,3,Denise Richards,Steve Wozniak,Steve-O,False,
8,4,Holly Madison,Steve Wozniak,Steve-O,False,
8,5,David Alan Grier,Steve-O,Lawrence Taylor,False,
8,6,Steve-O,Steve-O,Ty Murray,True,Exact_Hit
8,7,Lawrence Taylor,Lawrence Taylor,Lil' Kim,True,Exact_Hit
8,8,Chuck Wicks,Melissa Rycroft,Shawn Johnson,False,
8,9,Lil' Kim,Ty Murray,Lil' Kim,False,
8,10,Ty Murray,Ty Murray,Shawn Johnson,True,Exact_Hit
8,11,None,Melissa Rycroft,Shawn Johnson,False,
9,1,Ashley Hamiliton,Macy Gray,Kathy Ireland,False,
9,2,Kathy Ireland,Kathy Ireland,Melissa Joan Hart,True,Exact_Hit
9,4,Chuck Liddell,Chuck Liddell,Louie Vito,True,Exact_Hit
9,5,Natalie Coughlin,Natalie Coughlin,Melissa Joan Hart,True,Exact_Hit
9,6,Louie Vito,Melissa Joan Hart,Michael Irvin,False,
9,7,Mark Dacascos,Mark Dacascos,Michael Irvin,True,Exact_Hit
9,8,Aaron Carter,Aaron Carter,Donny Osmond,True,Exact_Hit
9,9,Joanna Krupa,Donny Osmond,Joanna Krupa,False,
9,10,None,Kelly Osbourne,Mya,False,
10,1,None,Buzz Aldrin,Aiden Turner,False,
10,2,Shannen Doherty,Buzz Aldrin,Kate Gosselin,False,
10,3,Buzz Aldrin,Buzz Aldrin,Kate Gosselin,True,Exact_Hit
10,4,Aiden Turner,Kate Gosselin,Aiden Turner,False,
10,5,Kate Gosselin,Kate Gosselin,Chad Ochocinco,True,Exact_Hit
10,6,Jake Pavelka,Evan Lysacek,Pamela Anderson,False,
10,7,Pamela Anderson,Pamela Anderson,Niecy Nash,True,Exact_Hit
10,8,Niecy Nash,Chad Ochocinco,Niecy Nash,False,
10,9,Chad Ochocinco,Chad Ochocinco,Nicole Scherzinger,True,Exact_Hit
10,10,None,Evan Lysacek,Erin Andrews,False,
11,1,David Hasselhoff,The Situation,Margaret Cho,False,
11,2,Michael Bolton,Michael Bolton,The Situation,True,Exact_Hit
11,3,Margaret Cho,Bristol Palin,The Situation,False,
11,4,The Situation,The Situation,Bristol Palin,True,Exact_Hit
11,5,Florence Henderson,Bristol Palin,Florence Henderson,False,
11,6,Audrina Patridge,Kurt Warner,Jennifer Grey,False,
11,7,Rick Fox,Bristol Palin,Rick Fox,False,
11,8,Kurt Warner,Bristol Palin,Kurt Warner,False,
11,9,Brandy,Bristol Palin,Brandy,False,
11,10,None,Bristol Palin,Jennifer Grey,False,
12,1,None,Mike Catherwood,Wendy Williams,False,
12,2,Mike Catherwood,Wendy Williams,Sugar Ray Leonard,False,
12,3,Wendy Williams,Wendy Williams,Romeo,True,Exact_Hit
12,4,Sugar Ray Leonard,Kendra Wilkinson,Sugar Ray Leonard,False,
12,5,Petra Nemcova,Kirstie Alley,Petra Nemcova,False,
12,6,Chris Jericho,Chris Jericho,Kirstie Alley,True,Exact_Hit
12,7,Kendra Wilkinson,Romeo,Kirstie Alley,False,
12,8,Romeo,Romeo,Kirstie Alley,True,Exact_Hit
12,9,Ralph Macchio,Kirstie Alley,Ralph Macchio,False,
12,10,None,Kirstie Alley,Chelsea Kane,False,
13,1,Metta World Peace (Ron),Metta World Peace (Ron),Elisabetta Canalis,True,Exact_Hit
13,2,Elisabetta Canalis,David Arquette,Hope Solo,False,
13,3,Kristin Cavallari,Nancy Grace,Chaz Bono,False,
13,4,Chynna Phillips,Nancy Grace,Carson Kressley,False,
13,5,Carson Kressley,Carson Kressley,Nancy Grace,True,Exact_Hit
13,6,Chaz Bono,Hope Solo,Nancy Grace,False,
13,7,David Arquette,Nancy Grace,J.R. Martinez,False,
13,8,Nancy Grace,Nancy Grace,Hope Solo,True,Exact_Hit
13,9,Hope Solo,Hope Solo,J.R. Martinez,True,Exact_Hit
13,10,None,J.R. Martinez,Ricki Lake,False,
14,1,None,Melissa Gilbert,Martina Navratilova,False,
14,2,Martina Navratilova,Martina Navratilova,Gladys Knight,True,Exact_Hit
