season,week,contestant_id,celebrity_name,judge_total,p_mean,p_median,p_q025,p_q975
1,1,0,Evander Holyfield,18.0,0.12955774364884445,0.09856476913339737,0.01052693336649609,0.4165480693519693
1,1,1,Joey McIntyre,20.0,0.27550210335641573,0.2339326855203479,0.03134554661987974,0.7154721720310108
1,1,2,John O'Hurley,20.0,0.262490393340519,0.21730500694406538,0.02741484435283525,0.6969634349703329
1,1,3,Kelly Monaco,13.0,0.051120228257385485,0.020428632607643233,0.00020977545332725027,0.2873129826788838
1,1,4,Rachel Hunter,20.0,0.2001876990426755,0.1400862697915941,0.018760093284296515,0.6565198149876483
1,1,5,Trista Sutter,18.0,0.08114183235415982,0.054884417553515724,0.007906412197726264,0.3023041707522368
1,2,0,Evander Holyfield,14.0,0.04674185584956315,0.02673218990203309,0.00037039857530340406,0.20249533397259808
1,2,1,Joey McIntyre,21.0,0.17349706548614813,0.12571138531019171,0.00995767734633504,0.5703034732493044
1,2,2,John O'Hurley,26.0,0.4077378030110299,0.3733667522206961,0.04787424198191427,0.8973269516967374
1,2,3,Kelly Monaco,17.0,0.09869799598678902,0.05483108300968803,0.0020729912819983623,0.43685153434130364
1,2,4,Rachel Hunter,24.0,0.2110242607053162,0.14790216501191353,0.017827801528813882,0.6900769327347328
1,2,5,Trista Sutter,19.0,0.06230101896115359,0.03925216448701707,0.003732571161060385,0.24207494639068805
1,3,0,Evander Holyfield,13.0,0.04519011614762441,0.024745046059065592,0.000365267497556493,0.2001530635101021
1,3,1,Joey McIntyre,22.0,0.204041898322057,0.1576339814211306,0.014507162771447708,0.6236513080338199
1,3,2,John O'Hurley,24.0,0.26713290400517226,0.22045382674978348,0.027369237872939708,0.7125092741312519
1,3,3,Kelly Monaco,21.0,0.18513065470046378,0.13542416533629076,0.012788080461405808,0.6187706281688137
1,3,4,Rachel Hunter,26.0,0.2985044268246826,0.2237766676319306,0.02673636262738391,0.8321856438028034
1,4,1,Joey McIntyre,20.0,0.10641968327844978,0.05317256019571526,0.0010181806741883283,0.4948303345434771
1,4,2,John O'Hurley,21.0,0.12136093090195652,0.07193459317439702,0.002017685084440617,0.5101843017782358
1,4,3,Kelly Monaco,26.0,0.5155134295533016,0.522973004012852,0.07807365640327209,0.932254813205458
1,4,4,Rachel Hunter,25.0,0.2567059562662921,0.1930077627099176,0.021036585838489184,0.7642867024717439
1,5,1,Joey McIntyre,22.5,0.14586997828241258,0.08744413786139121,0.0016463545524807394,0.5825891269582514
1,5,2,John O'Hurley,27.0,0.6443892113059706,0.6912264036741878,0.10523964930263664,0.9875144063864152
1,5,3,Kelly Monaco,23.5,0.2097408104116168,0.14671532849471228,0.006617204387184697,0.720605059251817
1,6,2,John O'Hurley,27.0,0.207397497020489,0.12561151438183676,0.0027623935699077817,0.773891313632747
1,6,3,Kelly Monaco,27.5,0.792602502979511,0.8743884856181634,0.22610868636725306,0.9972376064300917
2,1,0,Drew Lachey,24.0,0.21456302706480382,0.16232015686187684,0.02474166568062673,0.6574804936302273
2,1,1,George Hamilton,18.0,0.05755135262383566,0.04250713706446342,0.002803138699235655,0.20939988607047857
2,1,2,Giselle Fernandez,23.0,0.10061869888374411,0.06410687452950828,0.00937959322966607,0.43332910144135733
2,1,3,Jerry Rice,21.0,0.18833303548972435,0.15872698624601717,0.01789572772998125,0.5449359607502158
2,1,4,Kenny Mayne,13.0,0.013240790526096826,0.008414466384429256,0.00031191487002324577,0.05346172758550018
2,1,5,Lisa Rinna,19.0,0.06848369102928362,0.0447159134720588,0.006305753401117187,0.2792154901859595
2,1,6,Master P,12.0,0.034850908922330955,0.02001078599031912,0.00017763621292569282,0.1501532383873585
2,1,7,Stacy Keibler,22.0,0.14902012841573775,0.11217140296613931,0.015980458946367335,0.4567423556441826
2,1,8,Tatum O'Neal,23.0,0.10726917063980555,0.07578344219328924,0.01175976862576983,0.3747743321873896
2,1,9,Tia Carrere,20.0,0.06606919640463739,0.04826518457925613,0.006474039031556832,0.2403617195615694
2,2,0,Drew Lachey,27.0,0.20722978686903326,0.15709803572859599,0.017338183250117843,0.6499472734544023
2,2,1,George Hamilton,22.0,0.06978260028113527,0.0518698658397016,0.003244200995768391,0.24970867260334248
2,2,2,Giselle Fernandez,24.0,0.05916762421996962,0.039486772929774205,0.0041184059055135985,0.23859203157798364
2,2,3,Jerry Rice,23.0,0.1582778463964003,0.126632453125457,0.008542872270795823,0.49831465336087605
2,2,5,Lisa Rinna,20.0,0.04879464206376596,0.030353928933173423,0.001645115266045664,0.2264735244665201
2,2,6,Master P,16.0,0.042402357216396486,0.024620038804442305,0.0002496482851981933,0.17324793930319005
2,2,7,Stacy Keibler,29.0,0.34167126532455666,0.3033184815769383,0.03508867130521827,0.8509727152578322
2,2,8,Tatum O'Neal,17.0,0.01847696156041191,0.011288827164608078,0.00025870859172934105,0.07840568932125125
2,2,9,Tia Carrere,22.0,0.05419691606833053,0.037907834358306206,0.0030716890689038135,0.19736144528208702
