season,week,observed_eliminated_name,pred_elim_prob_observed,top1_pred_name,top1_prob,top2_pred_name,top2_prob,top3_pred_name,top3_prob,is_observed_in_top2,notes
1,1,,,Kelly Monaco,0.4702115226551038,Trista Sutter,0.2722218327212254,Evander Holyfield,0.12263960284025464,False,
1,2,Trista Sutter,0.2001211239739153,Evander Holyfield,0.4557329498350072,Kelly Monaco,0.21270329075018446,Trista Sutter,0.2001211239739153,False,
1,3,Evander Holyfield,0.5574080318846506,Evander Holyfield,0.5574080318846506,Kelly Monaco,0.1927108743807784,Joey McIntyre,0.12582877937761883,True,
1,4,Rachel Hunter,0.16621908593014909,Joey McIntyre,0.4665506467568535,John O'Hurley,0.29414116847625954,Rachel Hunter,0.16621908593014909,False,
1,5,,,Joey McIntyre,0.5387595305671605,Kelly Monaco,0.3154833364923276,John O'Hurley,0.1457571329405122,False,
1,6,,,John O'Hurley,0.6714558901506786,Kelly Monaco,0.32854410984932186,,,False,
2,1,Kenny Mayne,0.4414064421731001,Kenny Mayne,0.4414064421731001,Master P,0.31457771513007743,George Hamilton,0.0974159028144336,True,
2,2,Tatum O'Neal,0.40385638161482,Tatum O'Neal,0.40385638161482,Master P,0.2890864189229674,Lisa Rinna,0.13071284868458072,True,
2,3,Giselle Fernandez,0.24357960053764585,Master P,0.43565350260559316,Giselle Fernandez,0.24357960053764585,Jerry Rice,0.15566918842827032,True,
2,4,Master P,0.5294662499310603,Master P,0.5294662499310603,George Hamilton,0.21426793038423625,Tia Carrere,0.09317134801012045,True,
2,5,Tia Carrere,0.537848655623982,Tia Carrere,0.537848655623982,Jerry Rice,0.1700775581954439,George Hamilton,0.14516618970412268,True,
2,6,George Hamilton,0.36628078762150496,George Hamilton,0.36628078762150496,Jerry Rice,0.35484099018190546,Lisa Rinna,0.1621928016798345,True,
2,7,Lisa Rinna,0.2762439544944051,Jerry Rice,0.482169504568804,Lisa Rinna,0.2762439544944051,Stacy Keibler,0.14222980380437933,True,
2,8,,,Jerry Rice,0.5372219604379088,Stacy Keibler,0.2835572742145762,Drew Lachey,0.1792207653475146,False,
3,1,Tucker Carlson,0.09435242919559489,Tucker Carlson,0.09435242919559489,Sara Evans,0.09332473734374057,Jerry Springer,0.09278803744168973,True,
3,2,Shanna Moakler,0.10126680329967948,Jerry Springer,0.10268062407507725,Sara Evans,0.10188860948371967,Harry Hamlin,0.10185111155553674,False,
3,3,Harry Hamlin,0.1126932260785107,Emmitt Smith,0.11459148078525504,Jerry Springer,0.11324898881926662,Willa Ford,0.11275486097280608,False,
3,4,Vivica A. Fox,0.12662263198291132,Sara Evans,0.1297199284768781,Jerry Springer,0.12808565763415944,Emmitt Smith,0.12667548405048848,False,
3,6,,,Jerry Springer,0.2128648688163079,Monique Coleman,0.2035736912214669,Joey Lawrence,0.20027331222726225,False,
3,7,Jerry Springer,0.210947944169687,Jerry Springer,0.210947944169687,Monique Coleman,0.20183780761322154,Mario Lopez,0.19702114526717726,True,
3,8,Monique Coleman,0.26010777650580214,Monique Coleman,0.26010777650580214,Emmitt Smith,0.25615066695467337,Joey Lawrence,0.2553694242974577,True,
3,9,,,Emmitt Smith,0.3353263087311406,Mario Lopez,0.3323648282232504,Joey Lawrence,0.3323088630456085,False,
3,10,,,Emmitt Smith,0.5036518582270125,Mario Lopez,0.49634814177298736,,,False,
4,1,,,Billy Ray Cyrus,0.09406949185167926,Leeza Gibbons,0.09322648775526986,Clyde Drexler,0.09280239499373003,False,
4,2,Paulina Porizkova,0.09218962474761003,Clyde Drexler,0.09341500641791506,Shandi Finnessey,0.09266061848359335,Billy Ray Cyrus,0.09222994356285862,False,
4,3,Shandi Finnessey,0.10120150028367837,Clyde Drexler,0.1037187711315375,John Ratzenberger,0.10178752158691591,Billy Ray Cyrus,0.10124632734730234,False,
4,4,Leeza Gibbons,0.11490592923983313,Clyde Drexler,0.11543540936478529,John Ratzenberger,0.11493274775763083,Leeza Gibbons,0.11490592923983313,False,
4,5,Clyde Drexler,0.1318751648689991,Clyde Drexler,0.1318751648689991,Billy Ray Cyrus,0.1295650370932213,John Ratzenberger,0.12880745152382822,True,
4,6,Heather Mills,0.14572152291047136,John Ratzenberger,0.14933470099277862,Billy Ray Cyrus,0.14775091225541673,Heather Mills,0.14572152291047136,False,
4,7,John Ratzenberger,0.17268373875839294,Billy Ray Cyrus,0.17653380564865134,John Ratzenberger,0.17268373875839294,Ian Ziering,0.1656831951121844,True,
4,8,Billy Ray Cyrus,0.213637562044279,Billy Ray Cyrus,0.213637562044279,Ian Ziering,0.2052324564007173,Laila Ali,0.19737221954402193,True,
4,9,Ian Ziering,0.26103763727159196,Ian Ziering,0.26103763727159196,Apolo Anton Ohno,0.2544428840528463,Joey Fatone,0.24341056345756268,True,
4,10,,,Laila Ali,0.3492830193951376,Joey Fatone,0.34304238031062595,Apolo Anton Ohno,0.3076746002942372,False,
5,1,Josie Maran,0.08574026242995658,Josie Maran,0.08574026242995658,Floyd Mayweather Jr. ,0.08518616724286208,Wayne Newton,0.08478758649653914,True,
5,2,Albert Reed,0.09183564982920675,Wayne Newton,0.09410456645390874,Mark Cuban,0.09302644184761681,Floyd Mayweather Jr. ,0.09185930256713798,False,
5,3,Wayne Newton,0.10343950327484637,Wayne Newton,0.10343950327484637,Mark Cuban,0.10259344099830416,Floyd Mayweather Jr. ,0.10225585034571272,True,
5,4,Floyd Mayweather Jr. ,0.11411571602337219,Mark Cuban,0.11454451752136968,Floyd Mayweather Jr. ,0.11411571602337219,Mel B,0.11176461090950855,True,
5,5,Mark Cuban,0.1290682234933754,Mark Cuban,0.1290682234933754,Marie Osmond,0.12884834719866192,Helio Castroneves,0.12710473460183425,True,
5,6,Sabrina Bryan,0.1452680127018478,Jane Seymour,0.14786262156776878,Marie Osmond,0.14682411010310029,Sabrina Bryan,0.1452680127018478,False,
5,7,Jane Seymour,0.17180717282544872,Jane Seymour,0.17180717282544872,Cameron Mathison,0.17084987883232983,Marie Osmond,0.16759028399861553,True,
5,8,Cameron Mathison,0.20540952736615103,Marie Osmond,0.20701837680180785,Jennie Garth,0.206642797765878,Cameron Mathison,0.20540952736615103,False,
5,9,Jennie Garth,0.2560615003340397,Marie Osmond,0.26141204137360863,Jennie Garth,0.2560615003340397,Mel B,0.24230408845792292,True,
5,10,,,Marie Osmond,0.35908872102776956,Helio Castroneves,0.3210298568194458,Mel B,0.3198814221527848,False,
6,1,,,Adam Carolla,0.08563430222527672,Monica Seles,0.08557951978153756,Penn Jillette,0.08541144215977566,False,
6,2,Monica Seles,0.08580809381780735,Monica Seles,0.08580809381780735,Steve Guttenberg,0.08555815530006762,Penn Jillette,0.08537164645100949,True,
6,3,Steve Guttenberg,0.10173797665680696,Marissa Jaret Winokur,0.10272262619862713,Mario,0.10184060918435406,Adam Carolla,0.10178298688381333,False,
6,4,Adam Carolla,0.11528428729726965,Adam Carolla,0.11528428729726965,Priscilla Presley,0.11361075556115341,Mario,0.11258960615227462,True,
6,5,Priscilla Presley,0.12873058746951396,Priscilla Presley,0.12873058746951396,Marlee Matlin,0.12821631198052622,Cristian de la Fuente,0.12712018692124713,True,
6,6,Marlee Matlin,0.1488816292400716,Marlee Matlin,0.1488816292400716,Jason Taylor,0.14621203821998388,Shannon Elizabeth,0.145683625294874,True,
6,7,Shannon Elizabeth,0.168287034417969,Cristian de la Fuente,0.1733556749823253,Mario,0.16878910106541198,Shannon Elizabeth,0.168287034417969,False,
6,8,Mario,0.20310782754305728,Marissa Jaret Winokur,0.2077811831001558,Jason Taylor,0.20520865744897565,Mario,0.20310782754305728,False,
6,9,Marissa Jaret Winokur,0.2624406592086776,Marissa Jaret Winokur,0.2624406592086776,Jason Taylor,0.25315506167231466,Cristian de la Fuente,0.24581464179930634,True,
6,10,,,Cristian de la Fuente,0.35453810157401033,Jason Taylor,0.3347356562191107,Kristi Yamaguchi,0.3107262422068796,False,
7,1,Jeffrey Ross,0.07956893520685335,Jeffrey Ross,0.07956893520685335,Cloris Leachman,0.07851001275823036,Rocco DiSpirito,0.07794877455171831,True,
7,3,,,Cloris Leachman,0.11566576177831381,Rocco DiSpirito,0.11330216258600176,Susan Lucci,0.11266381803869573,False,
7,4,Rocco DiSpirito,0.11495378408066462,Rocco DiSpirito,0.11495378408066462,Maurice Greene,0.1138928046510673,Toni Braxton,0.11262705306967825,True,
7,5,Toni Braxton,0.12827950573448987,Cloris Leachman,0.12881533469571174,Lance Bass,0.1285128111668835,Toni Braxton,0.12827950573448987,False,
7,6,Cloris Leachman,0.15143650063491845,Cloris Leachman,0.15143650063491845,Maurice Greene,0.14625585486460432,Susan Lucci,0.14376300207964568,True,
7,7,Susan Lucci,0.16927644929428975,Warren Sapp,0.17288565213735418,Cody Linley,0.17201388019450484,Susan Lucci,0.16927644929428975,False,
7,8,Maurice Greene,0.20769696284188083,Maurice Greene,0.20769696284188083,Cody Linley,0.2071092544359714,Lance Bass,0.2039903060446799,True,
7,9,Cody Linley,0.26206691558163114,Cody Linley,0.26206691558163114,Brooke Burke,0.25636103777327074,Warren Sapp,0.25512971757557784,True,
7,10,,,Lance Bass,0.3482809173347453,Warren Sapp,0.3463869417516261,Brooke Burke,0.30533214091362776,False,
8,1,,,Steve Wozniak,0.07909644008239593,Ty Murray,0.07880594779130576,Lawrence Taylor,0.07816951163031355,False,
8,2,Belinda Carlisle,0.07808525568502424,Steve-O,0.07918396174812883,David Alan Grier,0.07846924582435853,Steve Wozniak,0.07833712833775165,False,
