season,week,mechanism,rule,observed_eliminated_name,pred_elim_prob_observed,top1_pred_name,top1_prob,top2_pred_name,top2_prob,top3_pred_name,top3_prob,is_observed_in_top2,notes
1,1,direct,rank,,,Kelly Monaco,0.8400000022800986,Trista Sutter,0.15999999771990223,Rachel Hunter,2.0940906652236971e-16,False,
1,2,direct,rank,Trista Sutter,0.540238095237797,Trista Sutter,0.540238095237797,Evander Holyfield,0.24166666666687944,Kelly Monaco,0.21452380952390354,True,
1,3,direct,rank,Evander Holyfield,0.9328571428571428,Evander Holyfield,0.9328571428571428,Kelly Monaco,0.06714285714285702,Rachel Hunter,9.621492439883406e-22,True,
1,4,direct,rank,Rachel Hunter,0.3995238095232478,Rachel Hunter,0.3995238095232478,John O'Hurley,0.3209523809526423,Joey McIntyre,0.2795238095241085,True,
1,5,direct,rank,,,Joey McIntyre,0.6428571428571427,Kelly Monaco,0.34,John O'Hurley,0.017142857142857175,False,
1,6,direct,rank,,,John O'Hurley,0.96,Kelly Monaco,0.0399999999999999,,,False,
2,1,direct,rank,Kenny Mayne,0.9999999999984848,Kenny Mayne,0.9999999999984848,Tia Carrere,1.5026285846716908e-12,Lisa Rinna,1.2648210450112069e-14,True,
2,2,direct,rank,Tatum O'Neal,0.8585714285714294,Tatum O'Neal,0.8585714285714294,Lisa Rinna,0.14142857142857942,Tia Carrere,5.869780026112051e-18,True,
2,3,direct,rank,Giselle Fernandez,0.9999998266905442,Giselle Fernandez,0.9999998266905442,Master P,1.7330943190127562e-07,George Hamilton,2.3345899804365508e-14,True,
2,4,direct,rank,Master P,0.6904761904761123,Master P,0.6904761904761123,George Hamilton,0.2833333333332691,Tia Carrere,0.026190476190575827,True,
2,5,direct,rank,Tia Carrere,0.9785714285714285,Tia Carrere,0.9785714285714285,Drew Lachey,0.007142857142857117,George Hamilton,0.007142857142857117,True,
2,6,direct,rank,George Hamilton,0.9999998873502873,George Hamilton,0.9999998873502873,Lisa Rinna,1.126495612300041e-07,Jerry Rice,1.496054331093016e-13,True,
2,7,direct,rank,Lisa Rinna,0.7142857112982407,Lisa Rinna,0.7142857112982407,Jerry Rice,0.28571428337636323,Drew Lachey,4.5604759156489894e-09,True,
2,8,direct,rank,,,Jerry Rice,0.694761904762664,Stacy Keibler,0.1804761904754091,Drew Lachey,0.12476190476192875,False,
3,1,direct,percent,Tucker Carlson,0.38482974267789555,Tucker Carlson,0.38482974267789555,Sara Evans,0.1377279695436478,Jerry Springer,0.12129334045495237,True,
3,2,direct,percent,Shanna Moakler,0.13439204640723854,Jerry Springer,0.2417257195306066,Harry Hamlin,0.17890552961657166,Shanna Moakler,0.13439204640723854,False,
3,3,direct,percent,Harry Hamlin,0.16606548478215835,Emmitt Smith,0.27111734683332245,Jerry Springer,0.16808768019726467,Harry Hamlin,0.16606548478215835,False,
3,4,direct,percent,Vivica A. Fox,0.1328281200194858,Sara Evans,0.3625255899538783,Jerry Springer,0.22231577415964615,Vivica A. Fox,0.1328281200194858,False,
3,6,direct,percent,,,Jerry Springer,0.8611192093283543,Monique Coleman,0.08979539477366624,Joey Lawrence,0.029499737219372497,False,
3,7,direct,percent,Jerry Springer,0.796630325627125,Jerry Springer,0.796630325627125,Monique Coleman,0.11476475294282681,Mario Lopez,0.037515203976296915,True,
3,8,direct,percent,Monique Coleman,0.6120863004040521,Monique Coleman,0.6120863004040521,Emmitt Smith,0.19171788140991344,Joey Lawrence,0.1652161654612089,True,
3,9,direct,percent,,,Emmitt Smith,0.3765613704208077,Mario Lopez,0.34883052521914787,Joey Lawrence,0.27460810436004496,False,
3,10,direct,percent,,,Emmitt Smith,0.5370328320679343,Mario Lopez,0.4629671679320659,,,False,
4,1,direct,percent,,,Billy Ray Cyrus,0.26011701147538435,Leeza Gibbons,0.21216940548647537,Clyde Drexler,0.1457621664533271,False,
4,2,direct,percent,Paulina Porizkova,0.10514273333894131,Clyde Drexler,0.2518637411180101,Shandi Finnessey,0.15571789495529512,Leeza Gibbons,0.11616042950685172,False,
4,3,direct,percent,Shandi Finnessey,0.10537081323290258,Clyde Drexler,0.45350153110051417,John Ratzenberger,0.11215932136768063,Shandi Finnessey,0.10537081323290258,False,
4,4,direct,percent,Leeza Gibbons,0.2797069621871692,Clyde Drexler,0.34223011789954755,Leeza Gibbons,0.2797069621871692,John Ratzenberger,0.22081077349323366,True,
4,5,direct,percent,Clyde Drexler,0.6361624967132912,Clyde Drexler,0.6361624967132912,Billy Ray Cyrus,0.13302437312279888,John Ratzenberger,0.12201303378150036,True,
4,6,direct,percent,Heather Mills,0.16897939161349096,John Ratzenberger,0.4965949835319492,Billy Ray Cyrus,0.18265240571569322,Heather Mills,0.16897939161349096,False,
4,7,direct,percent,John Ratzenberger,0.2329662826934879,Billy Ray Cyrus,0.6496735266770169,John Ratzenberger,0.2329662826934879,Ian Ziering,0.05132469679543016,True,
4,8,direct,percent,Billy Ray Cyrus,0.748143473075329,Billy Ray Cyrus,0.748143473075329,Ian Ziering,0.18554678939817118,Laila Ali,0.039162798588545704,True,
4,9,direct,percent,Ian Ziering,0.6477592536671245,Ian Ziering,0.6477592536671245,Apolo Anton Ohno,0.18346362186416676,Laila Ali,0.08868462872212456,True,
4,10,direct,percent,,,Laila Ali,0.6573173296398689,Joey Fatone,0.2886049261979553,Apolo Anton Ohno,0.05407774416217512,False,
5,1,direct,percent,Josie Maran,0.27342848572323414,Josie Maran,0.27342848572323414,Floyd Mayweather Jr. ,0.15217224157556197,Wayne Newton,0.13095507770576212,True,
5,2,direct,percent,Albert Reed,0.0838778425608078,Wayne Newton,0.38329389000731834,Mark Cuban,0.17928302820948316,Albert Reed,0.0838778425608078,False,
5,3,direct,percent,Wayne Newton,0.36628992575451996,Wayne Newton,0.36628992575451996,Mark Cuban,0.22067374492702369,Floyd Mayweather Jr. ,0.14064002900485892,True,
5,4,direct,percent,Floyd Mayweather Jr. ,0.23172794435810054,Mark Cuban,0.37872949486858243,Floyd Mayweather Jr. ,0.23172794435810054,Jane Seymour,0.08181283601716226,True,
5,5,direct,percent,Mark Cuban,0.42116819169562714,Mark Cuban,0.42116819169562714,Marie Osmond,0.16391940249234116,Helio Castroneves,0.15247940685913647,True,
5,6,direct,percent,Sabrina Bryan,0.21563469242303435,Jane Seymour,0.416732999914826,Sabrina Bryan,0.21563469242303435,Cameron Mathison,0.16392234529895278,True,
5,7,direct,percent,Jane Seymour,0.394162693329065,Jane Seymour,0.394162693329065,Cameron Mathison,0.3245365491805173,Helio Castroneves,0.12254014801563559,True,
5,8,direct,percent,Cameron Mathison,0.41558783299254304,Cameron Mathison,0.41558783299254304,Jennie Garth,0.33482983206755,Marie Osmond,0.18567143391774055,True,
5,9,direct,percent,Jennie Garth,0.3746882413205976,Marie Osmond,0.4076351709686861,Jennie Garth,0.3746882413205976,Helio Castroneves,0.12585158433762833,True,
5,10,direct,percent,,,Marie Osmond,0.8901048258031402,Helio Castroneves,0.0659459156762488,Mel B,0.0439492585206104,False,
6,1,direct,percent,,,Monica Seles,0.2493636692905314,Adam Carolla,0.19908267943497449,Penn Jillette,0.1762035009145001,False,
6,2,direct,percent,Monica Seles,0.28585023802164056,Monica Seles,0.28585023802164056,Steve Guttenberg,0.20540594627512215,Penn Jillette,0.1625373304000521,True,
6,3,direct,percent,Steve Guttenberg,0.16286209902508617,Marissa Jaret Winokur,0.20916171482060775,Mario,0.1695780565025183,Steve Guttenberg,0.16286209902508617,False,
6,4,direct,percent,Adam Carolla,0.41736053104777976,Adam Carolla,0.41736053104777976,Priscilla Presley,0.2032721074173974,Mario,0.11823033614168886,True,
6,5,direct,percent,Priscilla Presley,0.3637422750559819,Priscilla Presley,0.3637422750559819,Marlee Matlin,0.19291333765100815,Shannon Elizabeth,0.1768742109013802,True,
6,6,direct,percent,Marlee Matlin,0.5011857712687401,Marlee Matlin,0.5011857712687401,Shannon Elizabeth,0.21687667783558953,Jason Taylor,0.12484192581013966,True,
