contestant_id,celebrity_name,judge_total,p_mean,p_median,p_q025,p_q975,actual_eliminated,eval_week,season,week,judge_rank,fan_rank,sum_rank,k_actual_elim,predicted_eliminated,week_correct,predicted_elim_names,actual_elim_names,num_contestants
0,Evander Holyfield,18.0,0.1435957582012495,0.1122961279254356,0.0115223080943931,0.4428814959265312,False,True,1,1,4,4,8,0,False,True,,,6
1,Joey McIntyre,20.0,0.2759848879800244,0.2388253310230479,0.0318069829100633,0.7494151965245203,False,True,1,1,1,1,2,0,False,True,,,6
2,John O'Hurley,20.0,0.2641383209066729,0.2285812109599096,0.0251768367514728,0.7072708860791092,False,True,1,1,1,2,3,0,False,True,,,6
3,Kelly Monaco,13.0,0.0569120119731901,0.0248168780925732,0.0002310507189768,0.2975699989937995,False,True,1,1,6,6,12,0,False,True,,,6
4,Rachel Hunter,20.0,0.1845025168739438,0.1281532192271441,0.0164519627316378,0.6189797459980626,False,True,1,1,1,3,4,0,False,True,,,6
5,Trista Sutter,18.0,0.0748665040649192,0.0516688111975718,0.0071037797286477,0.2865933202005676,False,True,1,1,4,5,9,0,False,True,,,6
0,Evander Holyfield,14.0,0.0567633958427027,0.0339855355860267,0.0004385713300438,0.2245231878046536,False,True,1,2,6,6,12,1,True,False,Evander Holyfield,Trista Sutter,6
1,Joey McIntyre,21.0,0.1811001196864657,0.1304115456607536,0.0089669398376235,0.6088526925973662,False,True,1,2,3,3,6,1,False,False,Evander Holyfield,Trista Sutter,6
2,John O'Hurley,26.0,0.401909823850994,0.3731319427555082,0.0492845897019761,0.8820957487795303,False,True,1,2,1,1,2,1,False,False,Evander Holyfield,Trista Sutter,6
3,Kelly Monaco,17.0,0.1072222179103962,0.0631044573402764,0.0020655325211063,0.4496080675012592,False,True,1,2,5,4,9,1,False,False,Evander Holyfield,Trista Sutter,6
4,Rachel Hunter,24.0,0.1948926256014205,0.1314074227376107,0.0180003616291938,0.6561113084501254,False,True,1,2,2,2,4,1,False,False,Evander Holyfield,Trista Sutter,6
5,Trista Sutter,19.0,0.0581118171080207,0.038424103339372,0.003839577753291,0.2324100770908587,True,True,1,2,4,5,9,1,False,False,Evander Holyfield,Trista Sutter,6
0,Evander Holyfield,13.0,0.0546751953484965,0.0322558098789406,0.0004453424848754,0.2174650015028268,True,True,1,3,5,5,10,1,True,True,Evander Holyfield,Evander Holyfield,5
1,Joey McIntyre,22.0,0.2106832758462083,0.1591821791502912,0.0149338297491918,0.6559091768457621,False,True,1,3,3,3,6,1,False,True,Evander Holyfield,Evander Holyfield,5
2,John O'Hurley,24.0,0.2672633535330146,0.2226440132457413,0.0270525990468727,0.7162275896222192,False,True,1,3,2,2,4,1,False,True,Evander Holyfield,Evander Holyfield,5
3,Kelly Monaco,21.0,0.192144068598091,0.1389651513071183,0.0130297930796734,0.5989745374946526,False,True,1,3,4,4,8,1,False,True,Evander Holyfield,Evander Holyfield,5
4,Rachel Hunter,26.0,0.2752341066741893,0.1895927419679876,0.0225507286997845,0.8129354945842701,False,True,1,3,1,1,2,1,False,True,Evander Holyfield,Evander Holyfield,5
1,Joey McIntyre,20.0,0.1179067870531998,0.0644834835918738,0.0010739274520985,0.5266021581927759,False,True,1,4,4,4,8,1,True,False,Joey McIntyre,Rachel Hunter,4
2,John O'Hurley,21.0,0.1305449404851411,0.0752399511846048,0.0032170581822506,0.5356258806424303,False,True,1,4,3,3,6,1,False,False,Joey McIntyre,Rachel Hunter,4
3,Kelly Monaco,26.0,0.5098312786483639,0.5121768218520171,0.0862322961355688,0.9222681272215382,False,True,1,4,1,1,2,1,False,False,Joey McIntyre,Rachel Hunter,4
4,Rachel Hunter,25.0,0.2417169938132951,0.1777877159869698,0.0187418640679824,0.7649023756246651,True,True,1,4,2,2,4,1,False,False,Joey McIntyre,Rachel Hunter,4
1,Joey McIntyre,22.5,0.1581870700423613,0.0969177770167503,0.0014498232250752,0.6374537212520197,True,True,1,5,3,3,6,1,True,True,Joey McIntyre,Joey McIntyre,3
2,John O'Hurley,27.0,0.6245449818488881,0.6571342884173914,0.1018959218017258,0.9904090269218369,False,True,1,5,1,1,2,1,False,True,Joey McIntyre,Joey McIntyre,3
3,Kelly Monaco,23.5,0.2172679481087506,0.1564176432375893,0.0064765896329219,0.7022578251921778,False,True,1,5,2,2,4,1,False,True,Joey McIntyre,Joey McIntyre,3
