season,week,n_to_eliminate,actual_eliminated,predicted_eliminated,prediction_status,correct_count,total_eliminated_actual,actual_eliminated_list,predicted_eliminated_list,roster_size,actual_survivors_count,predicted_survivors_count,intersection_count,survival_accuracy
1,2,1,Trista Sutter,Trista Sutter,1/1,1,1,['Trista Sutter'],['Trista Sutter'],6,5,5,5,1.0
1,3,1,Evander Holyfield,Evander Holyfield,1/1,1,1,['Evander Holyfield'],['Evander Holyfield'],5,4,4,4,1.0
1,4,1,Rachel Hunter,Rachel Hunter,1/1,1,1,['Rachel Hunter'],['Rachel Hunter'],4,3,3,3,1.0
1,5,1,Joey McIntyre,Kelly Monaco,0/1,0,1,['Joey McIntyre'],['Kelly Monaco'],3,2,2,1,0.5
2,1,1,Kenny Mayne,Kenny Mayne,1/1,1,1,['Kenny Mayne'],['Kenny Mayne'],10,9,9,9,1.0
2,2,1,Tatum O'Neal,Tatum O'Neal,1/1,1,1,"[""Tatum O'Neal""]","[""Tatum O'Neal""]",9,8,8,8,1.0
2,3,1,Giselle Fernandez,Giselle Fernandez,1/1,1,1,['Giselle Fernandez'],['Giselle Fernandez'],8,7,7,7,1.0
2,4,1,Master P,Master P,1/1,1,1,['Master P'],['Master P'],7,6,6,6,1.0
2,5,1,Tia Carrere,Tia Carrere,1/1,1,1,['Tia Carrere'],['Tia Carrere'],6,5,5,5,1.0
2,6,1,George Hamilton,George Hamilton,1/1,1,1,['George Hamilton'],['George Hamilton'],5,4,4,4,1.0
2,7,1,Lisa Rinna,Lisa Rinna,1/1,1,1,['Lisa Rinna'],['Lisa Rinna'],4,3,3,3,1.0
3,1,1,Tucker Carlson,Tucker Carlson,1/1,1,1,['Tucker Carlson'],['Tucker Carlson'],11,10,10,10,1.0
3,2,1,Shanna Moakler,Jerry Springer,0/1,0,1,['Shanna Moakler'],['Jerry Springer'],10,9,9,8,0.8888888888888888
3,3,1,Harry Hamlin,Emmitt Smith,0/1,0,1,['Harry Hamlin'],['Emmitt Smith'],9,8,8,7,0.875
3,4,1,Vivica A. Fox,Sara Evans,0/1,0,1,['Vivica A. Fox'],['Sara Evans'],8,7,7,6,0.8571428571428571
3,5,2,"Sara Evans, Willa Ford","Jerry Springer, Sara Evans",1/2,1,2,"['Sara Evans', 'Willa Ford']","['Jerry Springer', 'Sara Evans']",7,5,5,4,0.8
3,7,1,Jerry Springer,Jerry Springer,1/1,1,1,['Jerry Springer'],['Jerry Springer'],5,4,4,4,1.0
3,8,1,Monique Coleman,Monique Coleman,1/1,1,1,['Monique Coleman'],['Monique Coleman'],4,3,3,3,1.0
3,9,1,Joey Lawrence,Mario Lopez,0/1,0,1,['Joey Lawrence'],['Mario Lopez'],3,2,2,1,0.5
4,2,1,Paulina Porizkova,Clyde Drexler,0/1,0,1,['Paulina Porizkova'],['Clyde Drexler'],11,10,10,9,0.9
4,3,1,Shandi Finnessey,Clyde Drexler,0/1,0,1,['Shandi Finnessey'],['Clyde Drexler'],10,9,9,8,0.8888888888888888
4,4,1,Leeza Gibbons,Clyde Drexler,0/1,0,1,['Leeza Gibbons'],['Clyde Drexler'],9,8,8,7,0.875
4,5,1,Clyde Drexler,Clyde Drexler,1/1,1,1,['Clyde Drexler'],['Clyde Drexler'],8,7,7,7,1.0
4,6,1,Heather Mills,John Ratzenberger,0/1,0,1,['Heather Mills'],['John Ratzenberger'],7,6,6,5,0.8333333333333334
4,7,1,John Ratzenberger,Billy Ray Cyrus,0/1,0,1,['John Ratzenberger'],['Billy Ray Cyrus'],6,5,5,4,0.8
4,8,1,Billy Ray Cyrus,Billy Ray Cyrus,1/1,1,1,['Billy Ray Cyrus'],['Billy Ray Cyrus'],5,4,4,4,1.0
4,9,1,Ian Ziering,Ian Ziering,1/1,1,1,['Ian Ziering'],['Ian Ziering'],4,3,3,3,1.0
5,1,1,Josie Maran,Josie Maran,1/1,1,1,['Josie Maran'],['Josie Maran'],12,11,11,11,1.0
5,2,1,Albert Reed,Wayne Newton,0/1,0,1,['Albert Reed'],['Wayne Newton'],11,10,10,9,0.9
5,3,1,Wayne Newton,Wayne Newton,1/1,1,1,['Wayne Newton'],['Wayne Newton'],10,9,9,9,1.0
5,4,1,Floyd Mayweather Jr.,Mark Cuban,0/1,0,1,['Floyd Mayweather Jr.'],['Mark Cuban'],9,8,8,7,0.875
5,5,1,Mark Cuban,Mark Cuban,1/1,1,1,['Mark Cuban'],['Mark Cuban'],8,7,7,7,1.0
5,6,1,Sabrina Bryan,Jane Seymour,0/1,0,1,['Sabrina Bryan'],['Jane Seymour'],7,6,6,5,0.8333333333333334
5,7,1,Jane Seymour,Jane Seymour,1/1,1,1,['Jane Seymour'],['Jane Seymour'],6,5,5,5,1.0
